treatment,rep,mat,tomato1,cucumber1,parafilm1,total1,rel_tomato1,tomato2,cucumber2,parafilm2,total2,rel_tomato2
C,1,T,2,9,1,12,0.181818182,2,10,0,12,0.166666667
C,1,C,11,1,0,12,0.916666667,1,11,0,12,0.083333333
C,2,T,2,10,0,12,0.166666667,4,8,0,12,0.333333333
C,2,C,4,7,1,12,0.363636364,5,7,0,12,0.416666667
C,3,T,8,1,1,10,0.888888889,9,2,0,11,0.818181818
C,3,C,3,5,1,9,0.375,1,11,0,12,0.083333333
C,4,T,0,12,0,12,0,3,9,0,12,0.25
C,4,C,4,7,0,11,0.363636364,1,10,0,11,0.090909091
R,1,T,6,5,1,12,0.545454545,7,5,0,12,0.583333333
R,1,C,5,5,1,11,0.5,3,8,1,12,0.272727273
R,2,T,4,8,0,12,0.333333333,7,5,0,12,0.583333333
R,2,C,2,10,0,12,0.166666667,0,12,0,12,0
R,3,C,5,6,1,12,0.454545455,6,5,1,12,0.545454545
R,4,T,7,5,0,12,0.583333333,6,6,0,12,0.5
R,4,C,0,12,0,12,0,2,10,0,12,0.166666667
T,1,T,4,7,0,11,0.363636364,3,9,0,12,0.25
T,1,C,2,9,0,11,0.181818182,2,9,0,11,0.181818182
T,2,T,3,9,0,12,0.25,4,8,0,12,0.333333333
T,2,C,4,6,2,12,0.4,1,10,1,12,0.090909091
T,3,T,1,4,1,6,0.2,2,4,0,6,0.333333333
T,3,C,2,9,1,12,0.181818182,2,10,0,12,0.166666667
T,4,T,1,9,0,10,0.1,1,9,0,10,0.1
T,4,C,1,11,0,12,0.083333333,0,12,0,12,0
