treatment	treplicate	replicate	patch	6E	6L	6P	6total	12D	12F	12M	12total	12nomales	long	adjlong	event
C	1	1	B	0	0	0	0	0	0	0	0	0	1	1	FALSE
C	1	1	C	0	0	0	0	0	0	0	0	0	1	1	FALSE
C	1	2	B	17	4	0	21	9	4	3	16	13	7	7	FALSE
C	1	2	C	8	9	0	17	7	3	2	12	10	7	7	FALSE
C	1	2	T	35	10	0	45	14	9	4	27	23	15+	15	TRUE
C	1	3	B	17	14	0	31	7	9	5	21	16	9	9	FALSE
C	1	3	C	18	6	1	25	8	7	3	18	15	10+	10	TRUE
C	1	3	T	0	9	0	9	0	5	0	5	5	11	11	FALSE
C	2	1	B	7	12	0	19	5	2	3	10	7	6	6	FALSE
C	2	1	T	14	4	0	18	0	0	0	0	0	8	8	FALSE
C	2	2	B	40	21	0	61	13	4	6	23	17	7	7	FALSE
C	2	2	C	NA	NA	NA	0	5	0	1	6	5	4+	4	TRUE
C	2	2	T	30	13	0	43	16	1	5	22	17	15+	15	TRUE
C	2	3	B	37	18	0	55	14	15	6	35	29	10	10	FALSE
C	2	3	C	5	15	2	22	11	1	1	13	12	14+	14	TRUE
C	2	3	T	0	3	0	3	2	1	0	3	3	4	4	FALSE
C	3	1	B	16	11	4	31	5	6	2	13	11	8	8	FALSE
C	3	1	C	1	4	10	15	6	5	5	16	11	8+	8	TRUE
C	3	1	T	25	20	13	58	15	5	4	24	20	9	9	FALSE
C	3	3	B	33	14	2	49	12	11	3	26	23	8	8	FALSE
C	3	3	C	3	7	0	10	5	3	1	9	8	12+	12	TRUE
C	3	3	T	33	14	0	47	18	12	3	33	30	12	12	FALSE
C	4	1	B	17	11	0	28	8	5	1	14	13	10	10	FALSE
C	4	1	C	22	14	0	36	4	1	1	6	5	14+	14	TRUE
C	4	1	T	3	6	0	9	2	0	0	2	2	6	6	FALSE
C	4	2	B	1	5	10	16	0	9	2	11	9	4	4	FALSE
C	4	2	C	8	12	0	20	6	1	5	12	7	10	10	FALSE
C	4	2	T	33	18	2	53	11	12	1	24	23	11	11	FALSE
C	4	3	B	24	11	0	35	15	9	2	26	24	7	7	FALSE
C	4	3	C	16	17	0	33	10	0	3	13	10	12	12	FALSE
C	4	3	T	33	9	0	42	10	0	2	12	10	10+	10	TRUE
R	1	2	B	11	4	0	15	3	2	1	6	5	10	10	FALSE
R	1	2	C	6	9	11	26	8	1	4	13	9	11+	11	TRUE
R	1	2	T	35	9	0	44	14	4	1	19	18	13	13	FALSE
R	1	3	B	30	16	0	46	11	9	2	22	20	10	10	FALSE
R	1	3	C	NA	NA	NA	0	6	3	1	10	9	2	2	FALSE
R	1	3	T	32	6	0	38	12	4	2	18	16	8	8	FALSE
R	2	3	B	12	7	0	19	3	5	2	10	8	11+	11	TRUE
R	2	3	C	2	4	0	6	0	0	2	2	0	12+	12	TRUE
R	2	3	T	10	1	0	11	2	0	0	2	2	10	10	FALSE
R	2	2	B	2	0	0	2	0	0	0	0	0	13	13	FALSE
R	2	2	C	15	8	1	24	3	0	2	5	3	12	12	FALSE
R	3	1	C	18	5	0	23	1	0	1	2	1	15+	15	TRUE
R	3	1	T	0	0	0	0	0	0	0	0	0	2	2	FALSE
R	3	2	B	38	17	1	56	16	8	3	27	24	11+	11	TRUE
R	3	2	C	12	9	0	21	0	0	9	9	0	15+	15	TRUE
R	3	2	T	3	0	0	3	1	0	0	1	1	6+	6	TRUE
R	3	3	B	38	17	1	56	12	6	5	23	18	8	8	FALSE
R	3	3	C	15	7	0	22	1	0	10	11	1	11	11	FALSE
R	3	3	T	31	13	0	44	6	1	1	8	7	11	11	FALSE
R	4	1	B	13	7	0	20	18	9	3	30	27	10	10	FALSE
R	4	1	C	9	2	0	11	5	1	0	6	6	13+	13	TRUE
R	4	1	T	24	6	0	30	10	5	2	17	15	6+	6	TRUE
R	4	2	B	18	2	0	20	8	1	7	16	9	14+	14	TRUE
R	4	2	C	6	18	1	25	10	1	3	14	11	9+	9	TRUE
R	4	2	T	19	1	0	20	3	0	0	3	3	8+	8	TRUE
R	4	3	B	23	3	0	26	10	4	3	17	14	8+	8	TRUE
R	4	3	C	6	5	0	11	4	1	2	7	5	8+	8	TRUE
R	4	3	T	24	10	0	34	9	5	2	16	14	6	6	FALSE
T	1	2a	C	6	9	0	15	5	3	1	9	8	11+	11	TRUE
T	1	2a	T	32	11	0	43	5	5	0	10	10	12	12	FALSE
T	1	3	B	30	15	0	45	16	2	0	18	18	8	8	FALSE
T	1	3	C	11	8	0	19	2	2	4	8	4	9	9	FALSE
T	1	3	T	26	21	0	47	6	4	0	10	10	7	7	FALSE
T	1	2	B	32	18	0	50	10	12	2	24	22	9+	9	TRUE
T	1	2	C	15	7	0	22	4	4	3	11	8	11	11	FALSE
T	1	2	T	38	25	0	63	11	6	5	22	17	12	12	FALSE
T	2	1	B	18	11	0	29	10	4	1	15	14	8+	8	TRUE
T	2	1	C	6	5	0	11	0	0	0	0	0	8	8	FALSE
T	2	1	T	28	21	0	49	7	2	0	9	9	11	11	FALSE
T	2	2	B	30	15	5	50	7	8	6	21	15	12+	12	TRUE
T	2	2	C	11	10	8	29	5	3	3	11	8	6+	6	TRUE
T	2	2	T	13	8	3	24	3	4	1	8	7	6	6	FALSE
T	2	3	B	33	11	0	44	15	6	6	27	21	11	11	FALSE
T	2	3	C	13	13	1	27	8	5	3	16	13	13+	13	TRUE
T	2	3	T	16	5	0	21	8	4	1	13	12	12	12	FALSE
T	3	1	B	25	5	0	30	8	7	4	19	15	6	6	FALSE
T	3	1	C	16	4	0	20	0	1	7	8	1	15+	15	TRUE
T	3	1	T	17	9	0	26	4	9	2	15	13	12	12	FALSE
T	3	2a	B	NA	NA	NA	0	6	5	2	13	11	10+	10	TRUE
T	3	2a	C	NA	NA	NA	0	0	1	0	1	1	15+	15	TRUE
T	3	2a	T	NA	NA	NA	0	0	1	0	1	1	15	15	FALSE
T	3	2	B	19	12	1	32	6	4	4	14	10	10+	10	TRUE
T	3	2	C	2	2	0	4	1	0	1	2	1	11	11	FALSE
T	3	2	T	23	3	0	26	13	3	0	16	16	11	11	FALSE
T	4	1a	T	13	6	0	19	6	1	3	10	7	15+	15	TRUE
T	4	2	B	29	14	6	49	4	4	6	14	8	8	8	FALSE
T	4	2	C	7	13	0	20	7	1	2	10	8	14+	14	TRUE
T	4	2	T	9	4	0	13	1	0	7	8	1	6	6	FALSE
T	4	3	B	16	12	5	33	13	0	14	27	13	8	8	FALSE
T	4	3	C	2	7	0	9	0	0	1	1	0	10	10	FALSE
T	4	1	B	31	11	0	42	17	3	4	24	20	8	8	FALSE
T	4	1	C	11	10	2	23	4	0	2	6	4	15+	15	TRUE
T	4	1	T	33	10	1	44	2	0	0	2	2	10	10	FALSE
S	13	1	B	48	17	0	65	17	24	5	46	41	12+	12	TRUE
S	13	1	C	20	9	0	29	8	4	6	18	12	11+	11	TRUE
S	13	1	T	32	11	0	43	8	16	5	29	24	11+	11	TRUE
S	13	2	B	42	27	29	98	17	3	2	22	20	9	9	FALSE
S	13	2	C	17	12	0	29	12	3	4	19	15	13+	13	TRUE
S	13	2	T	47	16	0	63	23	4	2	29	27	12+	12	TRUE
S	13	3	B	38	15	2	55	20	14	5	39	34	8	8	FALSE
S	13	3	C	15	19	0	34	5	0	3	8	5	7	7	FALSE
S	13	3	T	48	26	0	74	2	0	2	4	2	10+	10	TRUE
S	13	4	B	32	14	6	52	19	5	5	29	24	7	7	FALSE
S	13	4	C	8	15	0	23	15	0	5	20	15	9+	9	TRUE
S	13	4	T	21	49	0	70	15	4	3	22	19	9+	9	TRUE
S	13	6	B	5	3	0	8	7	0	2	9	7	6+	6	TRUE
S	13	6	C	10	8	0	18	8	2	2	12	10	12+	12	TRUE
S	13	6	T	24	14	0	38	10	5	3	18	15	6+	6	TRUE
S	13	7	B	43	21	1	65	12	4	0	16	16	6	6	FALSE
S	13	7	C	10	13	0	23	11	2	2	15	13	11+	11	TRUE
S	13	7	T	26	8	0	34	10	6	5	21	16	7	7	FALSE
S	13	8	B	42	11	0	53	17	11	9	37	28	11	11	FALSE
S	13	8	C	7	5	0	12	6	0	3	9	6	11+	11	TRUE
S	13	8	T	16	14	2	32	5	10	3	18	15	12+	12	TRUE
S	13	11	B	44	17	0	61	16	11	6	33	27	13+	13	TRUE
S	13	11	C	21	22	0	43	6	1	3	10	7	11+	11	TRUE
S	13	11	T	14	22	0	36	15	9	0	24	24	5+	5	TRUE
