common garden;plant;nr;day;life stage;count
bean;B;1;6;e;26
bean;B;1;6;l;1
bean;B;1;6;p;0
bean;B;2;6;e;24
bean;B;2;6;l;4
bean;B;2;6;p;0
bean;B;3;6;e;20
bean;B;3;6;l;7
bean;B;3;6;p;0
bean;B;4;6;e;36
bean;B;4;6;l;2
bean;B;4;6;p;0
bean;B;5;6;e;11
bean;B;5;6;l;4
bean;B;5;6;p;0
bean;B;6;6;e;11
bean;B;6;6;l;1
bean;B;6;6;p;0
bean;B;7;6;e;43
bean;B;7;6;l;7
bean;B;7;6;p;0
bean;B;8;6;e;32
bean;B;8;6;l;6
bean;B;8;6;p;0
tomato;B;1;6;e;39
tomato;B;1;6;l;4
tomato;B;1;6;p;0
tomato;B;2;6;e;24
tomato;B;2;6;l;3
tomato;B;2;6;p;0
tomato;B;3;6;e;4
tomato;B;3;6;l;2
tomato;B;3;6;p;0
tomato;B;4;6;e;19
tomato;B;4;6;l;6
tomato;B;4;6;p;0
tomato;B;5;6;e;33
tomato;B;5;6;l;3
tomato;B;5;6;p;0
tomato;B;6;6;e;29
tomato;B;6;6;l;1
tomato;B;6;6;p;0
tomato;B;7;6;e;11
tomato;B;7;6;l;0
tomato;B;7;6;p;0
tomato;B;8;6;e;27
tomato;B;8;6;l;3
tomato;B;8;6;p;0
bean;C;1;6;e;17
bean;C;1;6;l;0
bean;C;1;6;p;0
bean;C;2;6;e;22
bean;C;2;6;l;2
bean;C;2;6;p;0
bean;C;3;6;e;12
bean;C;3;6;l;1
bean;C;3;6;p;2
bean;C;4;6;e;16
bean;C;4;6;l;1
bean;C;4;6;p;2
bean;C;5;6;e;18
bean;C;5;6;l;3
bean;C;5;6;p;0
bean;C;6;6;e;14
bean;C;6;6;l;0
bean;C;6;6;p;0
bean;C;7;6;e;13
bean;C;7;6;l;4
bean;C;7;6;p;2
bean;C;8;6;e;20
bean;C;8;6;l;0
bean;C;8;6;p;0
tomato;C;1;6;e;19
tomato;C;1;6;l;4
tomato;C;1;6;p;0
tomato;C;2;6;e;8
tomato;C;2;6;l;4
tomato;C;2;6;p;2
tomato;C;4;6;e;8
tomato;C;4;6;l;4
tomato;C;4;6;p;0
tomato;C;5;6;e;24
tomato;C;5;6;l;6
tomato;C;5;6;p;0
tomato;C;6;6;e;20
tomato;C;6;6;l;3
tomato;C;6;6;p;0
tomato;C;7;6;e;9
tomato;C;7;6;l;4
tomato;C;7;6;p;0
tomato;C;8;6;e;10
tomato;C;8;6;l;9
tomato;C;8;6;p;6
bean;T;1;6;e;0
bean;T;1;6;l;0
bean;T;1;6;p;0
bean;T;2;6;e;30
bean;T;2;6;l;1
bean;T;2;6;p;0
bean;T;3;6;e;0
bean;T;3;6;l;0
bean;T;3;6;p;0
bean;T;4;6;e;0
bean;T;4;6;l;1
bean;T;4;6;p;1
bean;T;5;6;e;0
bean;T;5;6;l;0
bean;T;5;6;p;0
bean;T;6;6;e;5
bean;T;6;6;l;0
bean;T;6;6;p;0
bean;T;7;6;e;23
bean;T;7;6;l;0
bean;T;7;6;p;0
bean;T;8;6;e;7
bean;T;8;6;l;0
bean;T;8;6;p;0
tomato;T;1;6;e;20
tomato;T;1;6;l;9
tomato;T;1;6;p;0
tomato;T;2;6;e;34
tomato;T;2;6;l;3
tomato;T;2;6;p;0
tomato;T;3;6;e;27
tomato;T;3;6;l;17
tomato;T;3;6;p;1
tomato;T;4;6;e;16
tomato;T;4;6;l;5
tomato;T;4;6;p;1
tomato;T;5;6;e;10
tomato;T;5;6;l;9
tomato;T;5;6;p;0
tomato;T;6;6;e;7
tomato;T;6;6;l;0
tomato;T;6;6;p;0
tomato;T;7;6;e;3
tomato;T;7;6;l;4
tomato;T;7;6;p;0
tomato;T;8;6;e;19
tomato;T;8;6;l;23
tomato;T;8;6;p;2
bean;B;1;12;e;1
bean;B;1;12;l;1
bean;B;1;12;p;14
bean;B;1;12;d;11
bean;B;1;12;af;8
bean;B;1;12;am;2
bean;B;2;12;e;6
bean;B;2;12;l;8
bean;B;2;12;p;4
bean;B;2;12;d;6
bean;B;2;12;af;11
bean;B;2;12;am;7
bean;B;3;12;e;10
bean;B;3;12;l;4
bean;B;3;12;p;1
bean;B;3;12;d;9
bean;B;3;12;af;7
bean;B;3;12;am;5
bean;B;4;12;e;11
bean;B;4;12;l;9
bean;B;4;12;p;12
bean;B;4;12;d;9
bean;B;4;12;af;13
bean;B;4;12;am;3
bean;B;5;12;e;17
bean;B;5;12;l;1
bean;B;5;12;p;1
bean;B;5;12;d;2
bean;B;5;12;af;10
bean;B;5;12;am;1
bean;B;6;12;e;2
bean;B;6;12;l;5
bean;B;6;12;p;2
bean;B;6;12;d;4
bean;B;6;12;af;2
bean;B;6;12;am;3
bean;B;7;12;e;70
bean;B;7;12;l;5
bean;B;7;12;p;10
bean;B;7;12;d;11
bean;B;7;12;af;21
bean;B;7;12;am;8
bean;B;8;12;e;1
bean;B;8;12;l;3
